title,desc,access,publisher,contact,email,bureauCode
International Energy Statistics,"Country specific data by year, month and quarter. Most data are available back to 1980. Fuel production, consumption, imports, exports, capacity, stocks, emissions, heat contents, and conversion factors; as well as population, as available for all fuels and countries.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2002 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2002 data on U.S. electric power generation, fuel consumption, stocks, and fuel heat content from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-906 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Utility and Nonutility Fuel,"Monthly data on U.S. electric power generation, fuel consumption, stocks, and fuel heat content from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-906 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2003 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2003 data on U.S. electric power generation, fuel consumption, stocks, and fuel heat content from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-906 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2004 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2004 data on U.S. electric power generation, fuel consumption, stocks, and fuel heat content from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-906 and Form EIA-920 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2005 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2005 data on U.S. electric power generation, fuel consumption, stocks, and fuel heat content from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-906 and Form EIA-920 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2006 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2006 data on U.S. electric power generation, fuel consumption, stocks, and fuel heat content from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-906 and Form EIA-920 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2007 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2007 data on U.S. electric power generation, fuel consumption, stocks, and fuel heat content from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-906, Form EIA-920, and Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2008 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2008 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plans, and combined heat and power (CHP) plants. Data organized at the plant-level. Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2010 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2010 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant -level. Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2008,"Utility level retail sales of electricity and associated revenue in 2008. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue,"Utility level retail sales of electricity and associated revenue. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2009,"Utility level retail sales of electricity and associated revenue in 2009. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly and Annual Energy Consumption by Sector,"Monthly data since January 1973 and annual data since 1949 on U.S. primary and total energy consumption by end-use sector (residential, commercial, industrial, transportation) and electric power sector.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Gross Withdrawals of Natural Gas,Data from 2005 to the latest month available on gross withdrawals of natural gas. Data organized by area and by month. Based on Form EIA-914 data.,public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data and Statistics,"Data and statistics on natural gas prices, exploration and reserves, production, imports and exports, storage, pipelines, and consumption. Data released on a weekly, monthly and annual basis. International data on natural gas production, consumption, imports and exports, CO2 emissions, and reserves.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data,"Data and statistics on natural gas prices, exploration and reserves, production, imports and exports, storage, pipelines, and consumption. Data released on a weekly, monthly and annual basis. International data on natural gas production, consumption, imports and exports, CO2 emissions, and reserves.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data Application Programming Interface (API),"EIA data on domestic natural gas prices, exploration and reserves, production, imports and exports, storage, pipelines, and consumption. Data released on a weekly, monthly and/or annual basis. The International Energy Data API provides international natural gas data: http://www.eia.gov/beta/api/qb.cfm?category=1505864                                                                                                  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data: Consumption/End Use Application Programming Interface (API),"Data on natural gas consumption, deliveries, and number of consumers. Monthly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data: Imports and Exports/Pipelines Application Programming Interface (API),"Data on natural gas imports and exports. Data organized by country, by U.S. state, by point of entry, and point of exit. Monthly and annual data available.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data: Summary Application Programming Interface (API),"Data on natural gas prices, production, reserves, gross withdrawals, imports and exports, underground storage, deliveries, and consumption. Annual and monthly data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data: Prices Application Programming Interface (API),Data on natural gas prices. Annual and monthly data available. Users of the EIA API are required to obtain an API Key via this registration form:  http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data: Production Application Programming Interface (API),"Data on natural gas production, gross withdrawals, lease condensate production, coalbed methane production, shale gas production, and offshore production. Monthly and Annual data available.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data: Storage Application Programming Interface (API),"Data on natural gas storage, withdrawals, and capacity. Weekly, monthly, and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Natural Gas Data: Exploration and Reserves Application Programming Interface (API),"Data on natural gas reserves, acquisitions, sales, new field discoveries, estimated production, proved reserves, proved reserves adjustment, and proved reserves extensions. Also data on natural gas wells. Monthly and annual data available.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Nuclear & Uranium Data and Statistics,"Data on uranium and nuclear fuel, nuclear power plants and reactors, radioactive waste, and nuclear power generation. International data on nuclear generation also available. Monthly, quarterly, and annual data available.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Petroleum Data Application Programming Interface (API),"Data on crude oil reserves and production; refining and processing; imports, exports, movements; stocks; prices; and consumption/sales are available in machine-readable format.                                                                Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Petroleum Data: Consumption/Sales Application Programming Interface (API),"Data on the consumption and sales of petroleum products. Weekly, monthly, and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Petroleum Data: Crude Reserves and Production Application Programming Interface (API),"Data on the proved reserves,  production, and drilling of crude oil, lease condensates, natural gas, and natural gas wells. Monthly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Petroleum Data: Imports/Exports and Movements Application Programming Interface (API),"Imports and exports of petroleum products and crude oil. Weekly, monthly, and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Petroleum Data: Prices Application Programming Interface (API),"Prices of petroleum products and crude oil. Weekly, monthly, and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Petroleum Data: Refining and Processing Application Programming Interface (API),"Data on petroleum inputs, production, yield, and capacity. Weekly, monthly and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Petroleum Data: Stocks Application Programming Interface (API),"Data on petroleum and crude oil stocks. Weekly, monthly, and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Petroleum Data: Summary Application Programming Interface (API),"Data on petroleum production, imports, inputs, stocks, exports, and prices. Weekly, monthly, and annual data available. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Renewable and Alternative Fuels Data and Statistics,"Monthly and annual data on renewable energy, i.e., biomass, geothermal, hydropower, solar, and wind. Also data on alternative transportation fuels, i.e., hydrogen, natural gas, propane, ethanol, and electricity. Data on renewable energy production, consumption, electricity generation, and consumption by end-use sector.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Residential Energy Consumption Survey (RECS) Files, All Data, 2015","The 2015 study represents the 14th iteration of the RECS program. First conducted in 1978, the Residential Energy Consumption Survey is a national sample survey that collects energy-related data for housing units occupied as a primary residence and the households that live in them. Data were collected from more than 5,600 households selected at random using a complex multistage, area-probability sample design. The sample represents 118.2 million U.S. households. The 1st version of the 2015 RECS microdata file, released in April 2017, reflected preliminary household characteristics data. The file was updated in October 2017 (Version 2) to include additional square footage and household energy insecurity data. The file was updated again in May 2018 (Version 3) and included final household characteristics data, as well as final consumption and expenditures data. The final version of the microdata file was updated in December 2018 (Version 4) and contains wood consumption variables, as well as additional weather and climate-related variables used in the end-use modeling process.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Residential Energy Consumption Survey (RECS) Files, Energy Consumption, 2009","This 2009 version represents the 13th iteration of the RECS program. First conducted in 1978, the Residential Energy Consumption Survey is a national sample survey that collects energy-related data for housing units occupied as a primary residence and the households that live in them. Data were collected from 12,083 households selected at random using a complex multistage, area-probability sample design. The sample represents 113.6 million U.S. households, the Census Bureau's statistical estimate for all occupied housing units in 2009 derived from their American Community Survey (ACS).",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: International Petroleum and Other Liquids Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months.  Summarizes the outlook for supply, consumption, inventory, and production capacity for international petroleum and other liquids. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook - Real and Nominal Petroleum Prices,"Provides annual, quarterly, and monthly prices back to 1976 for gasoline , heating oil, and diesel fuel. Also provides annual prices from 1968 and quarterly and monthly prices from 1974 for imported crude oil. Based on Form EIA-878 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: U.S. CO2 Emissions Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months. Summarizes CO2 emissions from coal, fossil fuels, natural gas, and petroleum and other liquid fuels.Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: U.S. Coal Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months.  Summarizes the outlook for supply, consumption, inventories, prices and market indicators for U.S. coal. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: U.S. Economy Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months. It provides data on economic output, income, expenditures, employment, production and price indexes. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: U.S. Electricity Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months.  Summarizes the outlook for U.S electricity generation, consumption, retail prices, fuel consumption, fuel inventories, fuel costs, residential usage, and residential customers. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: U.S. Natural Gas Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months. Summarizes the outlook for supply, consumption, inventories, and prices for U.S. natural gas. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: U.S. Petroleum and Other Liquids Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months.  Summarizes the outlook for U.S. petroleum and other liquids supply, consumption, inventories, refining, and prices.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: U.S. Prices Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months.  Summarizes the outlook for prices of petroleum, natural gas, electricity and coal. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: U.S. Renewable Energy Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months.  Summarizes the outlook for renewable energy consumption and renewable generation capacity. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook: U.S. Weather Application Programming Interface (API),"This API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months. It provides data on U.S. heating degree days and cooling degree days.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
State Energy Data System (SEDS),"EIA's State Energy Data System (SEDS) is a comprehensive data set that consists of annual time series estimates of state-level energy use by major economic sectors, energy production and and State-level energy price and expenditure data. The system provides data back from 1960. Data are presented in physical units, BTUs, and dollars. While some SEDS data series come directly from surveys conducted by EIA, many are estimated using other available information. These estimations are necessary for the compilation of ""total energy"" estimates.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
State Energy Data System (SEDS) Application Programming Interface (API),"State-level data on all energy sources. Data include production, consumption, reserves, stocks, prices, imports, and exports. Data are collated from state-specific data reported elsewhere on the EIA website and are the most recent values available. The system provides data back from 1960. While some SEDS data series come directly from surveys conducted by EIA, many are estimated using other available information. These estimations are necessary for the compilation of ""total energy"" estimates.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
State Energy Data System (SEDS) : Consumption Application Programming Interface (API),"This API provides state-level and national-level energy consumption data. Data organized by major economic sectors. EIA's State Energy Data System (SEDS) is a comprehensive data set that consists of annual time series estimates of state-level energy use by major economic sectors, energy production and and State-level energy price and expenditure data. The system provides data back from 1960. Data are presented in physical units, Btu, and dollars. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
State Energy Data System (SEDS) : Conversion Factors Application Programming Interface (API),"This API provides the conversion factors to change physical units to Btu. EIA's State Energy Data System (SEDS) is a comprehensive data set that consists of annual time series estimates of state-level energy use by major economic sectors, energy production and State-level energy price and expenditure data. The system provides data back from 1960. Data are presented in physical units, Btu, and dollars.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
State Energy Data System (SEDS): GDP Application Programming Interface (API),"This API provides state-level and national-level GDP. EIA's State Energy Data System (SEDS) is a comprehensive data set that consists of annual time series estimates of state-level energy use by major economic sectors, energy production and State-level energy price and expenditure data. The system provides data back from 1960. Data are presented in physical units, Btu, and dollars.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
State Energy Data System (SEDS) : Population Application Programming Interface (API),"This API provides state-level population, in addition to the U.S. total population. EIA's State Energy Data System (SEDS) is a comprehensive data set that consists of annual time series estimates of state-level energy use by major economic sectors, energy production and State-level energy price and expenditure data. The system provides data back from 1960. Data are presented in physical units, Btu, and dollars.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
State Energy Data System (SEDS) : Prices & Expenditures Application Programming Interface (API),"This API provides state-level and national-level energy prices and expenditures. Data organized by major economic sectors. EIA's State Energy Data System (SEDS) is a comprehensive data set that consists of annual time series estimates of state-level energy use by major economic sectors, energy production and State-level energy price and expenditure data. The system provides data back from 1960. Data are presented in physical units, Btu, and dollars. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
State Energy Data System (SEDS) : Production Application Programming Interface (API),"This API contains state-level and national-level data on energy production. EIA's State Energy Data System (SEDS) is a comprehensive data set that consists of annual time series estimates of state-level energy production by major economic sectors, energy production and State-level energy price and expenditure data. The system provides data back from 1960. Data are presented in physical units, Btu, and dollars. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Total Energy Data and Statistics,"Comprehensive monthly and annual time series on all energy sources. Data on production, consumption, reserves, stocks, prices, imports, and exports. Monthly time series extend back to 1973 and annual time series extend back to 1949. National-level data on major end-use sectors ,i.e., residential, commercial, industrial, and transportation.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"U.S. Crude Oil, Natural Gas, and Natural Gas Liquids Reserves","Annual data on proved reserves of crude oil, natural gas, and natural gas liquids in the U.S. Based on EIA Form-23L data.                                                                                                                                                                   Proved reserves are estimated volumes of hydrocarbon resources that analysis of geologic and engineering data demonstrates with reasonable certainty are recoverable under existing economic and operating conditions. Reserves estimates change from year to year as new discoveries are made, existing fields are more thoroughly appraised, existing reserves are produced, and prices and technologies change.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
US DOE NNSA Response to 2011 Fukushima Incident: At-sea Aerial Data,"The enclosed package represents radiation data collected with the fixed-wing aircraft (C-12) off the east coast of Japan on three separate flights dated April 5, 2011, April 18, 2011, and May 9, 2011. The data were collected with an array of large thallium activated sodium iodide (NaI(T)) crystals and associated readout electronics to produce time and location referenced measurements.  These results represent raw data that have not been validated but not calibrated  to physical units. They do not include any further evaluation.",public,National Nuclear Security Administration,Daniel Blumenthal,Daniel.Blumenthal@nnsa.doe.gov,019:05
US DOE NNSA Response to 2011 Fukushima Incident: Iodine-131 Aerial Data Analysis,The enclosed package represents radiation data collected with the fixed-wing aircraft (C-12) from 2-3 April 2011. The data were collected with an array of large thallium activated sodium iodide (NaI(Tl)) crystals and associated readout electronics to produce time and location referenced measurements.  These results represent raw data that have been analyzed to map the ground deposition of Iodine-131 released during the Fukushima Dai-ichi Nuclear Power Plant accident. They are calibrated to surface contamination units and validated. They do not include any further evaluation.,public,National Nuclear Security Administration,Daniel Blumenthal,Daniel.Blumenthal@nnsa.doe.gov,019:05
"US DOE/NNSA Aerial Survey of Washington, DC","The enclosed package represents radiation data collected with a helicopter over Washington, DC in 2013. The data were collected with an array of large thallium activated sodium iodide (NaI(Tl)) crystals and associated readout electronics to produce time and location referenced measurements.  These results represent raw data that have been calibrated  to physical units and validated. They do not include any further evaluation.",public,National Nuclear Security Administration,Daniel Blumenthal,Daniel.Blumenthal@nnsa.doe.gov,019:05
US DOE/NNSA Response Data Repository,"This portal contains environmental radiological monitoring data collected in response to the nuclear emergency following the March 11th, 2011 Tohoku earthquake and tsunami. Available data sets include field measurements, field samples, and analysis results. It is designed to contain data sets from other large-scale response efforts should they occur.",restricted public,National Nuclear Security Administration,Daniel Blumenthal,Daniel.Blumenthal@nnsa.doe.gov,019:05
Locus,ENV-EDA arranges for various samples of soil and water to be collected and sent to a number of analytical laboratories. These labs store the results in internal databases and then send delimited data files with results back to LANL.,public,National Nuclear Security Administration/LANL,Enrique Torres,etorres@lanl.gov,019:05
Sandia Environmental Management System,"Environmental Management System (EMS) to identify and mitigate risks and incorporate environmental management into daily work activities. EMS is a continuing cycle of planning, implementing, evaluating, and improving processes to achieve environmental goals",public,National Nuclear Security Administration/SNL,Katrina Wagner,kmwagne@sandia.gov,019:05
National Nuclear Security Administration Policies and Supplemental Directives,"NNSA uses NNSA Policies (NAPs) and Supplemental Directives (SDs) as its primary means to establish, communicate, and institutionalize policies, requirements, responsibilities, and procedures specific to NNSA elements and contractors. NAPs impart policy and requirements unique to the Administration or provide short-term notices until more formal direction can be provided. SDs are utilized, in conjunction with the Department's Directives System to indicate how NNSA will implement a Departmental directive in a cost efficient manner.",public,National Nuclear Security Administration,Camille Torquato,Camille.Torquato@nnsa.doe.gov,019:05
US DOE/NNSA and DoD Response to 2011 Fukushima Incident: Field Team Radiological Measurements,Field Measurements describe activity and exposure rate. They have been collected by a variety of agencies from both fixed detector locations as well as by mobile field teams.   These results represent raw data that have been calibrated  to physical units and validated. They do not include any further evaluation.,public,National Nuclear Security Administration,Daniel Blumenthal,Daniel.Blumenthal@nnsa.doe.gov,019:05
US DOE/NNSA and DoD Response to 2011 Fukushima Incident: Radiological Air Samples,"Field Samples are physical media collected during the response which are subsequently analyzed either in a laboratory or in the field using InSitu equipment. Common field samples include air filters and soil samples. Radiochemistry analysis typically reports the presence of specific radionuclides measured as total activity or as either activity/unit of mass or activity/unit of volume, depending upon the sample media. In addition, total beta and total alpha activity may be reported. Currently, air filter and soil sample analysis results may be downloaded through the data repository. Both data sets are similar; they contain a number of columns describing the collected sample as well as the results of radiochemical analysis. In addition, there are a number of special fields that are specific to a given sample type; e.g. Air Filters specify the filter type and total volume, while soil samples specify the sample weight. For convenience, the sample information and subsequent analysis has been ""flattened"" into a simple tabular format. Consequently, if a sample has multiple analysis results the ""sample collection"" values will be repeated through the set; e.g., sample ID#, barcode, latitude/longitude, collection date etc. To be included in the data repository, a given sample must meet the following criteria: has a valid latitude, longitude, and collection date; has been sent to a laboratory for analysis, or had analysis performed in the field; has at least one valid analysis result with a reportable unit, nuclide, and activity which has been validated by an authorized laboratory staff member. These results represent raw data that have been calibrated  to physical units and validated. They do not include any further evaluation.",public,National Nuclear Security Administration,Daniel Blumenthal,Daniel.Blumenthal@nnsa.doe.gov,019:05
US DOE/NNSA and DoD Response to 2011 Fukushima Incident: Radiological Soil Samples,"Field Samples are physical media collected during the response which are subsequently analyzed either in a laboratory or in the field using InSitu equipment. Common field samples include air filters and soil samples. Radiochemistry analysis typically reports the presence of specific radionuclides measured as total activity or as either activity/unit of mass or activity/unit of volume, depending upon the sample media. In addition, total beta and total alpha activity may be reported. Currently, air filter and soil sample analysis results may be downloaded through the data repository. Both data sets are similar; they contain a number of columns describing the collected sample as well as the results of radiochemical analysis. In addition, there are a number of special fields that are specific to a given sample type; e.g., Air Filters specify the filter type and total volume, while soil samples specify the sample weight. For convenience, the sample information and subsequent analysis has been ""flattened"" into a simple tabular format. Consequently, if a sample has multiple analysis results the ""sample collection"" values will be repeated through the set; e.g. sample ID#, barcode, latitude/longitude, collection date etc. To be included in the data repository, a given sample must meet the following criteria: has a valid latitude, longitude, and collection date; has been sent to a laboratory for analysis, or had analysis performed in the field; has at least one valid analysis result with a reportable unit, nuclide, and activity which has been validated by an authorized laboratory staff member.  These results represent raw data that have been calibrated  to physical units and validated. They do not include any further evaluation.",public,National Nuclear Security Administration,Daniel Blumenthal,Daniel.Blumenthal@nnsa.doe.gov,019:05
US DOE/NNSA Response to 2011 Fukushima Incident: Instrument Samples (InSitu Measurements,"Field Samples are physical media collected during the response which are subsequently analyzed either in a laboratory or in the field using InSitu equipment. Common field samples include air filters and soil samples. Radiochemistry analysis typically reports the presence of specific radionuclides measured as total activity or as either activity/unit of mass or activity/unit of volume, depending upon the sample media. In addition, total beta and total alpha activity may be reported. Currently, air filter and soil sample analysis results may be downloaded through the data repository. Both data sets are similar; they contain a number of columns describing the collected sample as well as the results of radiochemical analysis. In addition, there are a number of special fields that are specific to a given sample type; e.g. Air Filters specify the filter type and total volume, while soil samples specify the sample weight. For convenience, the sample information and subsequent analysis has been flattened into a simple tabular format. Consequently, if a sample has multiple analysis results the sample collection values will be repeated through the set; e.g. sample ID#, barcode, latitude/longitude, collection date etc. To be included in the data repository, a given sample must meet the following criteria: has a valid latitude, longitude, and collection date; has been sent to a laboratory for analysis, or had analysis performed in the field; has at least one valid analysis result with a reportable unit, nuclide, and activity which has been validated by an authorized laboratory staff member.  These results represent raw data that have been calibrated  to physical units and validated. They do not include any further evaluation.",public,National Nuclear Security Administration,Daniel Blumenthal,Daniel.Blumenthal@nnsa.doe.gov,019:05
US DOE/NNSA Response to 2011 Fukushima Incident: March 2011 Aerial Data,The enclosed package represents radiation data collected with the fixed-wing aircraft (C-12) from 17 March 2011 to 19 March 2011. The data were collected with an array of large thallium activated sodium iodide (NaI(T)) crystals and associated readout electronics to produce time and location referenced measurements.  These results represent raw data that have been calibrated  to physical units and validated. They do not include any further evaluation.,public,National Nuclear Security Administration,Daniel Blumenthal,Daniel.Blumenthal@nnsa.doe.gov,019:05
